state,gopWin,demWin,label,tippingPoint,xValue,yValue
Alabama,99.9,0.1,AL,0.0,637.0,338.6934
Alaska,90.1,9.9,AK,1.4,245.0,400.0
Arizona,61.2,38.7,AZ,4.8,315.0,306.5801
Arkansas,99.9,0.0,AR,0.0,560.0,315.6387
California,0.1,99.9,CA,0.0,223.0,253.9219
Colorado,25.0,75.0,CO,3.9,400.0,245.5645
Connecticut,7.1,92.9,CT,1.3,-1000.0,-1000.0
Delaware,8.0,91.9,DE,1.6,-1000.0,-1000.0
Florida,55.2,44.8,FL,5.0,714.0,397.8154
Georgia,69.9,30.0,GA,4.3,680.0117,335.2354
Hawaii,0.0,99.9,HI,0.0,380.0,465.0
Idaho,100.0,0.0,ID,0.0,310.1851,155.0
Illinois,6.0,93.9,IL,0.8,596.6602,231.2954
Indiana,94.2,5.7,IN,0.7,633.4111,228.4214
Iowa,66.2,33.8,IA,4.8,545.8457,202.6782
Kansas,96.4,3.6,KS,0.3,487.0,259.1592
Kentucky,99.9,0.0,KY,0.0,655.1484,264.9658
Louisiana,98.4,1.5,LA,0.1,561.4404,369.8135
Maine,29.5,70.4,ME,4.2,807.3105,109.855
Maryland,0.2,99.8,MD,0.0,-1000.0,-1000.0
Massachusetts,0.1,99.9,MA,0.0,-1000.0,-1000.0
Michigan,41.7,58.2,MI,4.9,645.6465,181.3647
Minnesota,33.1,66.8,MN,4.7,530.8594,141.5874
Mississippi,94.4,5.5,MS,0.5,598.6016,342.1514
Missouri,93.2,6.8,MO,0.9,557.0,261.123
Montana,92.7,7.2,MT,0.8,370.0981,112.7705
Nebraska,99.7,0.2,NE,0.0,473.8364,210.0527
Nevada,41.2,58.7,NV,4.5,267.8765,219.0957
New Hampshire,37.2,62.7,NH,4.9,-1000.0,-1000.0
New Jersey,9.9,90.1,NJ,1.5,785.0,210.0
New Mexico,18.2,81.7,NM,3.0,385.3774,314.1035
New York,1.6,98.4,NY,0.1,753.5781,163.2588
North Carolina,58.0,42.0,NC,4.6,728.6084,284.5029
North Dakota,100.0,0.0,ND,0.0,467.0742,117.3823
Ohio,69.6,30.4,OH,3.8,670.7197,219.4883
Oklahoma,100.0,0.0,OK,0.0,500.1963,306.418
Oregon,14.3,85.7,OR,2.6,240.2783,139.5654
Pennsylvania,47.2,52.7,PA,4.9,730.3535,200.856
Rhode Island,4.4,95.6,RI,0.7,-1000.0,-1000.0
South Carolina,88.3,11.7,SC,1.4,712.4395,315.6387
South Dakota,99.8,0.1,SD,0.0,468.0742,163.5166
Tennessee,99.1,0.8,TN,0.1,640.8594,294.8193
Texas,79.0,21.0,TX,2.9,480.9902,374.2861
Utah,99.6,0.3,UT,0.0,330.1084,234.978
Vermont,0.1,99.9,VT,0.0,-1000.0,-1000.0
Virginia,30.1,69.9,VA,4.0,731.0264,252.7842
Washington,9.6,90.4,WA,1.5,256.9365,88.0762
West Virginia,99.9,0.0,WV,0.0,701.0,243.0
Wisconsin,51.2,48.8,WI,4.8,585.2529,163.2588
Wyoming,100.0,0.0,WY,0.0,385.9287,179.6255
District of Columbia,0.0,99.9,DC,0.0,,
